time_us,ax,ay,az,gx,gy,gz
0,-0.086191,-1.637634,8.473080,2.499691,-0.081583,-0.653174
4000,-0.141258,-1.685518,8.271967,1.934806,-0.051049,-0.515770
8000,-0.057461,-1.628057,8.219295,1.201982,-0.096850,-0.439434
12000,-0.019154,-1.630451,8.279149,0.469157,-0.432728,-0.408900
16000,-0.009577,-1.592144,8.224083,-0.049927,-0.234255,-0.179892
20000,-0.011971,-1.656788,8.370130,-0.675881,-0.020514,0.018581
24000,0.004788,-1.570596,8.477868,-0.965957,0.254295,0.171253
28000,-0.007183,-1.675941,8.525752,-1.576644,0.254295,0.232322
32000,0.067038,-1.668759,8.453926,-1.820919,0.452768,0.644536
36000,0.004788,-1.654393,8.429984,-2.049927,0.452768,0.675070
40000,0.007183,-1.620875,8.595184,-2.049927,0.284829,0.690337
44000,0.045490,-1.659182,8.544906,-2.004125,-0.264789,0.598734
48000,0.067038,-1.625663,8.573636,-2.156797,-0.234255,0.904078
52000,0.059855,-1.620875,8.633492,-2.202598,-0.203721,0.949879
56000,0.081403,-1.582567,8.520964,-2.172064,-0.386927,1.056749
60000,0.172383,-1.546654,8.669404,-1.881988,-0.264789,0.949879
64000,0.107739,-1.546654,8.597578,-1.622446,-0.585400,0.552933
68000,0.102951,-1.508347,8.650250,-1.500308,-1.028148,0.507131
72000,0.134075,-1.522712,8.690952,-1.194965,-0.860209,0.644536
76000,0.167594,-1.493982,8.731653,-0.752217,-0.463263,0.155986
80000,0.191536,-1.544260,8.609550,-0.401072,-0.310591,0.125452
84000,0.138864,-1.527501,8.724471,-0.004125,0.132157,-0.134090
88000,0.117316,-1.508347,8.628703,0.240150,-0.005247,-0.546304
92000,0.129287,-1.493982,8.650250,0.637096,-0.249522,-0.744777
96000,0.110133,-1.577779,8.595184,1.201982,-0.051049,-1.080655
100000,0.035913,-1.558625,8.609550,1.186714,-0.692270,-1.492869
104000,0.076614,-1.580173,8.597578,1.079844,-1.211354,-1.676075
108000,0.045490,-1.623269,8.664616,0.972974,-1.867843,-1.355464
112000,-0.052672,-1.692701,8.657434,0.759233,-2.066316,-1.615006
116000,-0.038307,-1.695095,8.664616,0.499691,-2.188453,-1.065388
120000,-0.071826,-1.692701,8.619126,0.209615,-1.638835,-0.805846
124000,-0.057461,-1.752556,8.511387,-0.340003,-1.058682,-0.332564
128000,0.000000,-1.719037,8.547300,-0.935423,-0.478530,-0.057755
132000,-0.028730,-1.742979,8.566454,-1.133896,-0.020514,-0.118823
136000,0.052672,-1.750161,8.786720,-0.782751,0.987119,0.155986
140000,0.138864,-1.723825,8.791509,-0.889621,1.704676,0.262856
144000,0.009577,-1.692701,8.705317,-0.859087,1.979486,0.278123
148000,0.014365,-1.675941,8.576031,-0.675881,1.750478,0.064383
152000,-0.086191,-1.685518,8.669404,-0.660614,1.704676,0.430795
156000,-0.021548,-1.690306,8.827422,-0.294202,1.368798,0.827742
160000,0.019154,-1.683124,8.834604,0.392821,1.796279,0.720871
164000,-0.014365,-1.695095,8.791509,1.003508,2.513837,0.965146
168000,-0.021548,-1.750161,8.585608,1.125646,2.864982,0.949879
172000,-0.071826,-1.654393,8.508993,1.308852,2.803913,0.949879
176000,0.002394,-1.663970,8.592790,1.354653,2.055821,0.827742
