time_us,ax,ay,az,gx,gy,gz
0,-0.593762,-1.168370,8.853758,1.797401,1.811547,1.636902
4000,-0.524330,-1.094150,8.904037,1.721066,3.582539,2.339192
8000,-0.486023,-1.134852,8.875306,2.041676,5.597806,3.194154
12000,-0.402226,-1.065420,8.836999,2.224883,7.078722,3.652169
16000,-0.311246,-1.046266,8.580819,1.766867,7.597806,3.896444
20000,-0.328006,-0.921768,8.702923,1.293585,6.651241,3.468963
24000,-0.311246,-0.897826,8.544906,1.140913,5.078722,2.858276
28000,-0.272939,-0.830788,8.602366,0.927172,3.139791,1.865910
32000,-0.588974,-0.900220,8.652645,0.530226,0.895516,1.682703
36000,-0.323217,-0.845153,8.520964,1.003508,-6.707537,-0.485235
40000,-0.052672,-0.883460,9.126697,0.774501,-0.066316,0.552933
44000,-0.411803,-0.866701,8.916007,1.201982,-3.577766,-0.897449
48000,-0.239420,-0.847547,8.851364,2.911905,-3.073950,-0.393632
52000,-0.246603,-0.746991,8.920795,3.598928,-0.295324,-0.790579
56000,-0.548272,-0.718261,8.686164,3.247783,-1.318224,-0.882182
60000,-0.615310,-0.632069,8.382100,2.514959,-2.005247,-0.637907
64000,-0.720655,-0.617704,8.449138,1.522592,-4.997613,-0.912716
68000,-0.665588,-0.572214,8.487445,1.140913,-6.768606,-0.760045
72000,-0.565032,-0.493206,8.599973,1.049310,-7.241889,-0.790579
76000,-0.608127,-0.433351,8.564059,0.896638,-8.447996,-1.218060
80000,-0.612916,-0.423774,8.743625,0.988241,-9.287690,-1.034854
84000,-0.687136,-0.478840,8.911219,0.270684,-10.509065,-1.065388
88000,-0.751779,-0.433351,8.968679,0.056943,-11.944179,-1.050121
92000,-0.739808,-0.438139,9.078813,0.621829,-10.631202,-0.302029
96000,-0.909797,-0.368707,9.131485,0.118012,-12.447996,-0.347831
100000,-0.955287,-0.407014,9.277532,0.224882,-11.623569,0.797207
104000,-0.921768,-0.268151,9.514558,-0.446873,-11.394561,1.591100
108000,-0.962469,-0.205901,9.406818,-1.103362,-13.012881,1.896444
112000,-0.766145,-0.203507,9.567230,-1.240766,-11.852576,2.461329
116000,-0.629675,-0.222661,9.629479,-0.767484,-11.593034,2.262856
120000,-0.545878,-0.129287,9.627085,0.072211,-11.333492,2.323925
124000,-0.181959,-0.069432,10.072407,-0.859087,-3.226621,3.774307
128000,-0.718261,-0.019154,10.182540,1.415722,-6.051049,2.629268
132000,-0.667982,0.193930,9.880871,-0.385804,-16.692270,1.530032
136000,-0.050278,0.311246,10.371682,-0.889621,-10.570133,3.072016
140000,-0.033519,0.347159,10.544065,0.957707,-4.310591,4.232322
144000,-0.311246,0.586579,10.486604,0.789768,-6.783873,4.140719
148000,-0.292093,0.658405,10.460267,0.255417,-12.936545,3.468963
152000,0.167594,0.679953,10.769119,0.560760,-9.440362,4.552933
156000,0.308852,0.883460,11.118672,1.186714,-4.249522,5.239955
160000,0.191536,1.077391,11.051635,0.896638,-3.638835,5.056749
164000,0.287304,1.163582,10.879252,3.095111,-3.226621,4.568200
168000,0.275333,1.261744,10.809821,3.782134,-2.280056,4.384994
172000,0.373495,1.455675,10.817003,4.423356,-1.669369,3.835375
176000,0.591368,1.551443,10.596737,6.148546,-0.692270,3.392627
180000,0.665588,1.671153,10.496181,6.835569,-0.554866,1.942245
184000,0.861913,1.742979,10.295067,8.377554,0.880249,0.217055
188000,0.945710,1.867477,10.002975,9.278317,0.834447,-2.240961
192000,0.883460,1.932121,9.646238,11.079844,1.887883,-4.164625
196000,0.823605,1.980005,9.390059,12.240149,3.658875,-6.118823
200000,0.586579,2.085350,8.899248,11.812669,2.666508,-8.011953
204000,0.526724,2.140416,8.396465,11.095112,-0.142652,-10.729510
208000,0.395043,2.109292,8.118738,9.217249,0.559638,-11.950885
212000,0.110133,2.075773,7.884106,7.186714,-1.241889,-13.324930
216000,0.071826,2.056619,7.694964,6.316485,0.101623,-13.248594
220000,-0.165200,1.917756,7.340622,3.339386,-2.493797,-14.073022
224000,-0.138864,1.869871,7.082048,0.606562,-2.906011,-14.439434
228000,-0.023942,1.721431,7.055712,-2.538476,-0.280056,-14.561572
232000,-0.294487,1.613692,7.010222,-5.866721,-0.447995,-15.355465
236000,-0.533907,1.359907,6.957550,-8.248401,-1.302957,-15.508137
240000,-0.672771,1.192312,7.029376,-10.767485,-0.921278,-14.958518
244000,-0.869095,1.156399,7.237672,-13.805652,-0.463263,-14.500503
248000,-0.988805,1.130063,7.295133,-16.935423,-1.699904,-13.767678
252000,-1.173159,1.029507,7.570466,-20.385803,-1.440362,-12.607373
256000,-1.266533,0.979228,7.788338,-22.004124,2.300096,-10.378366
260000,-1.508347,0.960075,7.716512,-24.492674,1.277195,-9.141725
264000,-1.738190,0.928950,7.999028,-27.027025,-1.516698,-7.706609
268000,-1.874660,0.821211,8.329428,-28.263668,-3.455629,-5.767678
272000,-1.968034,0.751779,8.365341,-29.271301,-10.478530,-5.019587
