time_us,ax,ay,az,gx,gy,gz
0,-0.972046,-2.085350,9.229648,2.560760,-1.913644,-1.981419
4000,-0.881066,-2.066196,9.299079,4.499691,-1.684637,-1.752411
8000,-0.842759,-2.135628,9.150639,5.324119,-1.440362,-1.599739
12000,-0.761356,-2.111686,9.181764,5.843203,-0.860209,-1.615006
16000,-0.849942,-2.049437,9.174581,6.545493,0.055821,-1.370732
20000,-0.950498,-2.042254,8.949526,7.064577,0.574905,-1.233327
24000,-0.912191,-1.948880,8.889671,7.232516,1.155058,-0.653174
28000,-0.775721,-1.884237,8.817844,7.354653,3.078722,-0.225693
32000,-0.794875,-1.841141,8.631097,7.476791,5.338264,0.064383
36000,-0.804452,-1.771709,8.520964,7.217249,7.155058,0.507131
40000,-0.897826,-1.661576,8.216900,6.118012,8.040554,0.904078
44000,-0.902614,-1.632846,8.121132,4.835569,7.735211,1.087284
48000,-0.821211,-1.561020,8.171411,3.690531,7.109257,1.178887
52000,-0.744597,-1.546654,8.157045,2.530226,6.376432,0.736139
56000,-0.821211,-1.460463,8.293514,1.614195,5.719944,0.675070
60000,-0.754174,-1.350330,8.178593,0.545493,5.170325,0.720871
64000,-0.773327,-1.405396,8.221688,-0.172064,3.628341,0.293391
68000,-0.754174,-1.448492,8.164227,-0.584278,1.842081,0.094917
72000,-0.833182,-1.482011,8.329428,-0.401072,0.269562,-0.332564
76000,-0.804452,-1.553837,8.341399,-0.355270,-0.768606,-1.019587
80000,-0.995988,-1.592144,8.501810,-0.935423,-2.341125,-0.927984
84000,-1.067814,-1.716643,8.908825,-0.828552,-4.890743,-0.836380
88000,-0.948104,-1.838747,9.236830,0.728699,-5.272423,-0.714243
92000,-0.847547,-1.860295,9.442732,2.621829,-5.272423,-0.485235
96000,-0.720655,-1.747767,9.344569,4.240149,-5.028148,-0.698976
100000,-0.696713,-1.829170,9.196129,5.354653,-4.982347,-1.218060
104000,-0.711078,-1.821988,9.042900,6.087478,-5.089217,-1.706609
