time_us,ax,ay,az,gx,gy,gz
0,-0.112527,-1.465251,7.970297,1.003508,1.857348,0.659803
4000,-0.294487,-1.496376,8.051701,0.133279,2.361165,1.545299
8000,-0.311246,-1.525106,8.094796,-0.996492,2.819180,2.293390
12000,-0.351948,-1.539472,8.228871,-2.507942,3.399333,3.484231
16000,-0.363919,-1.539472,8.341399,-3.332370,2.941318,4.384994
20000,-0.268151,-1.608904,8.561666,-3.744583,1.109257,4.430795
24000,-0.186748,-1.651999,8.724471,-3.943056,-2.081583,4.507131
28000,-0.050278,-1.695095,9.105149,-4.019392,-1.989980,4.293391
32000,0.067038,-1.728614,9.071630,-1.805652,-2.066316,4.766673
36000,0.179565,-1.640028,9.291897,-0.202598,-1.822041,4.629269
40000,0.217872,-1.685518,9.289502,1.430989,-0.554866,4.247589
44000,0.318429,-1.616086,9.193734,3.049310,-0.829675,3.606368
48000,0.457293,-1.596933,9.045294,4.484425,-0.570133,2.690337
52000,0.378284,-1.599327,8.975863,5.446257,-1.501431,1.957513
56000,0.260968,-1.544260,8.887277,6.118012,-3.654102,1.194154
60000,0.143652,-1.508347,8.930372,6.667630,-5.547232,0.354459
64000,0.155623,-1.472434,8.789114,6.805035,-6.997613,-0.027220
68000,0.107739,-1.517924,8.714894,6.713432,-8.341125,-0.118823
72000,0.086191,-1.532289,8.635885,6.576027,-8.051049,0.033849
76000,0.131681,-1.391031,8.461109,6.087478,-7.165553,0.537665
80000,0.189142,-1.331176,8.403648,5.980608,-5.196087,1.117818
84000,0.222661,-1.352724,8.190564,5.278317,-2.417461,1.407894
88000,0.251391,-1.261744,8.090008,4.942440,2.788646,2.308658
92000,0.081403,-1.309628,7.702147,3.889004,3.384066,2.659803
96000,-0.028730,-1.290475,7.699753,1.873737,2.788646,2.278123
100000,0.011971,-1.338359,7.766790,-0.477408,2.254295,2.461329
104000,0.126893,-1.419762,7.967903,-1.423972,3.124524,2.217055
108000,0.191536,-1.517924,8.200141,-1.423972,3.567272,1.972780
112000,0.129287,-1.549049,8.343793,-0.691148,2.437501,1.438429
116000,0.126893,-1.572991,8.305486,0.347020,1.475669,0.736139
120000,0.148441,-1.527501,8.250419,0.881371,1.261928,0.125452
124000,0.124498,-1.575385,8.295909,0.759233,2.544371,0.155986
