time_us,ax,ay,az,gx,gy,gz
0,-1.268927,-1.877054,9.030929,0.133279,7.506203,0.751406
4000,-1.302446,-1.915361,9.093178,0.682898,8.849714,0.766673
8000,-1.350330,-1.874660,9.018958,1.400455,9.139791,1.072016
12000,-1.407791,-1.886631,8.932767,2.011142,9.628340,1.728505
16000,-1.395820,-1.821988,8.856153,2.179081,9.414599,2.064383
20000,-1.379060,-1.829170,8.805874,2.499691,9.368798,2.598734
24000,-1.268927,-1.762132,8.690952,3.064577,9.216126,2.934612
28000,-1.180341,-1.704672,8.468291,3.140913,8.758111,2.827742
32000,-1.213860,-1.635240,8.389283,3.034043,8.315363,2.949879
36000,-1.146823,-1.620875,8.319851,2.972974,8.055821,2.736139
40000,-1.134852,-1.537078,8.161834,2.881371,7.506203,2.675070
44000,-1.175553,-1.544260,8.049306,2.621829,6.758111,2.293390
48000,-1.209072,-1.460463,7.920019,1.858470,5.811547,1.942245
52000,-1.240196,-1.460463,7.884106,1.263050,4.803913,1.911711
56000,-1.249773,-1.426944,7.845799,0.652363,3.826814,2.308658
60000,-1.254562,-1.596933,7.888895,0.682898,2.803913,1.896444
64000,-1.283292,-1.486799,7.855376,-0.187331,2.040554,2.064383
68000,-1.230620,-1.453280,7.927202,-0.843820,1.292463,1.942245
72000,-1.216254,-1.489193,8.006210,-1.347636,0.987119,1.850642
76000,-1.290475,-1.484405,8.231265,-1.362904,0.590173,1.881177
80000,-1.312023,-1.635240,8.236053,-0.706415,0.330631,1.926978
84000,-1.309628,-1.584962,8.427590,-0.462140,0.315363,2.155986
88000,-1.371878,-1.599327,8.413225,-0.492675,0.620707,2.247589
92000,-1.333570,-1.668759,8.415619,-0.462140,1.338264,2.705604
96000,-1.493982,-1.620875,8.415619,-0.706415,1.261928,2.720871
100000,-1.539472,-1.654393,8.413225,-0.889621,1.109257,2.873543
104000,-1.527501,-1.709460,8.501810,-1.027026,0.910783,3.239955
108000,-1.496376,-1.661576,8.458714,-1.286568,0.651241,3.468963
112000,-1.517924,-1.754950,8.367735,-1.408705,0.422234,3.713238
116000,-1.532289,-1.704672,8.525752,-1.637713,0.040554,4.140719
120000,-1.467646,-1.702277,8.497022,-1.775118,-0.783873,3.713238
124000,-1.505953,-1.654393,8.542512,-1.790385,-1.287690,3.759039
128000,-1.520318,-1.683124,8.583213,-1.881988,-2.051049,3.682703
132000,-1.508347,-1.711854,8.640674,-2.110996,-2.768606,3.560566
136000,-1.606509,-1.711854,8.676587,-2.110996,-3.196087,3.530032
140000,-1.709460,-1.738190,8.868123,-2.324736,-3.135018,3.606368
144000,-1.788469,-1.807622,8.722076,-2.248400,-2.906011,4.155986
148000,-1.903390,-1.697489,8.817844,-2.080461,-3.058682,4.369727
152000,-1.953669,-1.786075,8.846576,-1.958324,-3.180820,4.934612
156000,-2.035071,-1.817199,8.944737,-1.423972,-3.058682,5.285757
160000,-2.051831,-1.831564,8.884883,-1.149163,-2.692270,5.743773
164000,-2.176329,-1.862689,8.990228,-0.767484,-2.112118,6.140719
168000,-2.279280,-1.860295,9.109938,-0.431606,-1.562499,7.102551
172000,-2.183512,-1.944092,9.193734,0.377554,-0.768606,7.804841
176000,-2.238579,-1.987187,9.457097,1.889004,1.261928,8.507131
180000,-2.365471,-2.020706,9.390059,3.507325,3.063455,9.163619
184000,-2.468422,-1.977611,9.083601,4.331753,4.406967,9.926978
188000,-2.573767,-2.006341,8.889671,4.881371,5.643608,10.629268
192000,-2.738967,-2.092532,8.690952,4.988241,5.643608,11.377359
196000,-2.904167,-2.121263,8.650250,4.942440,5.399333,12.201787
200000,-3.059790,-2.145205,8.573636,4.270684,4.742845,13.194154
204000,-3.184288,-2.329558,8.473080,3.889004,4.116890,14.354459
