time_us,ax,ay,az,gx,gy,gz
0,-1.022324,-0.828394,8.121132,-3.500308,-1.501431,-1.324930
4000,-0.960075,-0.826000,8.291121,-4.217866,-0.967079,-1.156991
8000,-0.984017,-0.916979,8.391677,-4.935423,-0.020514,-0.744777
12000,-0.981623,-0.948104,8.410830,-5.576645,0.956585,-0.286762
16000,-1.010353,-0.931344,8.511387,-5.500309,1.414600,-0.347831
20000,-0.883460,-0.869095,8.571242,-5.301835,2.177959,-0.134090
24000,-0.835576,-0.938527,8.803479,-4.828553,2.712310,-0.134090
28000,-0.857124,-0.931344,8.896853,-3.637713,2.544371,-0.149358
32000,-0.847547,-0.969652,8.858546,-2.401072,3.109257,0.064383
36000,-0.914585,-0.964863,8.817844,-1.515576,2.590173,-0.179892
40000,-0.931344,-1.041478,8.760384,-0.935423,2.406966,-0.103556
44000,-0.900220,-0.921768,8.650250,-0.340003,1.765745,0.110184
48000,-1.012747,-0.873884,8.501810,-0.217866,1.109257,0.094917
52000,-0.981623,-0.878672,8.468291,-0.187331,0.773379,0.110184
56000,-0.995988,-0.921768,8.192958,-0.385804,0.681776,0.217055
60000,-0.967257,-0.782904,8.154651,-1.317102,0.529104,0.201787
64000,-0.907402,-0.814029,8.188169,-2.019392,0.345898,0.522398
68000,-0.854730,-0.799663,8.319851,-2.263667,-0.356392,0.308658
72000,-0.775721,-0.816423,8.394072,-2.034660,-0.921278,-0.118823
76000,-0.806846,-0.790087,8.362947,-2.126262,-0.890743,-0.485235
80000,-0.919373,-0.809240,8.427590,-2.569010,-0.738072,-1.065388
84000,-0.979228,-0.916979,8.386889,-2.492675,-1.287690,-1.095922
88000,-1.132457,-0.960075,8.346188,-3.133896,-1.547232,-1.187526
92000,-1.206678,-0.928950,8.391677,-3.271301,-3.302957,-0.897449
96000,-1.165976,-1.041478,8.465898,-3.958324,-3.394560,-0.760045
100000,-1.321599,-1.036689,8.626308,-4.385805,-3.898377,-0.531037
104000,-1.240196,-1.072602,8.595184,-4.828553,-4.127385,-0.011953
108000,-1.177947,-1.130063,8.750807,-5.256034,-3.577766,0.476597
112000,-1.079785,-1.137246,8.746018,-5.530843,-2.417461,0.629268
