time_us,ax,ay,az,gx,gy,gz
0,0.715866,-0.409408,8.834604,1.125646,-2.081583,-1.477602
4000,0.648829,-0.306458,8.755595,0.881371,-3.104484,-1.355464
8000,0.763750,-0.301669,8.892065,1.125646,-4.096850,-1.233327
12000,0.699107,-0.339977,9.059659,1.293585,-3.867843,-1.187526
16000,0.780510,-0.311246,9.011775,1.186714,-2.478530,-1.187526
20000,0.699107,-0.349553,8.872911,0.988241,-0.677003,-1.126457
24000,0.629675,-0.296881,8.793902,0.743966,0.590173,-1.004319
28000,0.514753,-0.347159,8.829816,0.453890,0.727577,-0.760045
32000,0.536301,-0.299275,9.040505,0.163814,1.322997,-0.698976
36000,0.533907,-0.349553,9.081207,0.270684,2.468035,0.094917
40000,0.464475,-0.387861,9.059659,0.240150,3.322997,0.094917
44000,0.543484,-0.354342,8.906430,0.331753,4.361165,0.461329
48000,0.567426,-0.351948,8.930372,0.224882,5.032921,0.949879
52000,0.569820,-0.347159,8.939949,0.026409,5.338264,0.934612
56000,0.605733,-0.323217,8.810662,-0.278934,5.613073,1.072016
60000,0.715866,-0.332794,8.748413,-0.309469,4.941318,1.056749
64000,0.732626,-0.272939,8.777143,-0.660614,4.300097,1.148352
68000,0.766145,-0.287304,8.719683,-0.889621,3.948951,1.117818
72000,0.806846,-0.181959,8.664616,-0.736950,3.460402,1.056749
76000,0.974440,-0.222661,8.597578,-1.011759,3.322997,0.690337
80000,1.060631,-0.172383,8.578424,-0.828552,2.727577,-0.027220
84000,1.120486,-0.203507,8.561666,-0.584278,2.116890,-0.347831
88000,1.158794,-0.134075,8.611943,0.056943,1.261928,-1.111190
92000,1.098939,-0.172383,8.552089,0.163814,0.010020,-1.508136
96000,1.024718,-0.158017,8.609550,0.118012,-0.967079,-2.317297
100000,0.976834,-0.198719,8.597578,0.469157,-1.608301,-2.744777
104000,1.000776,-0.165200,8.463503,0.682898,-2.844942,-2.653174
108000,1.043872,-0.229843,8.415619,0.591295,-4.157919,-3.233327
112000,1.046266,-0.193930,8.396465,0.179081,-4.967079,-3.248594
116000,0.957681,-0.215478,8.312668,-0.416339,-5.241889,-3.172258
