time_us,ax,ay,az,gx,gy,gz
0,1.146823,-0.296881,8.451532,-0.981224,0.437501,0.614001
4000,1.072602,-0.272939,8.453926,-0.813286,-0.386927,0.293391
8000,1.146823,-0.222661,8.497022,-0.950690,-1.638835,-0.011953
12000,1.134852,-0.210690,8.415619,-1.027026,-2.249522,-0.073022
16000,1.197101,-0.213084,8.492233,-1.332370,-2.753339,-0.302029
20000,1.103727,-0.301669,8.578424,-1.576644,-3.593034,-0.546304
24000,1.127669,-0.373495,8.611943,-1.668247,-3.944179,-0.332564
28000,1.048660,-0.337582,8.611943,-1.485041,-4.142652,-0.515770
32000,1.036689,-0.383072,8.566454,-1.439240,-4.677003,-0.424167
36000,1.103727,-0.361524,8.705317,-1.362904,-3.928911,-0.073022
40000,1.168370,-0.359130,8.841787,-1.118629,-3.684637,-0.149358
44000,1.194707,-0.433351,8.829816,-0.675881,-3.104484,-0.256228
48000,1.247379,-0.459687,8.851364,-0.416339,-2.325858,-0.469968
52000,1.225831,-0.481235,8.796297,-0.752217,-1.852576,-0.607373
56000,1.199495,-0.469264,8.863335,-0.614812,-1.516698,-0.729510
60000,1.146823,-0.519542,8.789114,-0.782751,-1.623568,-0.592106
64000,1.120486,-0.555455,8.872911,-0.935423,-1.791507,-0.546304
68000,1.029507,-0.517148,8.908825,-1.240766,-1.944179,-0.363098
72000,1.161188,-0.521936,8.959103,-1.225499,-1.699904,0.033849
76000,1.185130,-0.545878,8.889671,-0.965957,-1.348759,0.308658
80000,1.228225,-0.550666,8.848969,-1.103362,-1.379293,0.552933
84000,1.228225,-0.500388,8.808268,-1.118629,-1.333492,0.644536
88000,1.362301,-0.464475,8.997410,-1.133896,-0.799140,0.644536
92000,1.369483,-0.500388,8.877700,-0.782751,-0.799140,0.171253
96000,1.465251,-0.481235,8.916007,-0.767484,-1.165553,0.018581
100000,1.534683,-0.445322,8.992621,-0.126262,-1.196087,-0.424167
104000,1.568202,-0.421380,8.846576,0.392821,-0.661736,-0.973785
108000,1.635240,-0.442927,8.951921,0.652363,-0.386927,-1.492869
112000,1.635240,-0.418985,8.954314,0.988241,-0.356392,-1.569205
116000,1.663970,-0.368707,8.875306,1.415722,-0.493797,-2.042487
120000,1.692701,-0.428562,8.820239,1.690531,-0.493797,-2.317297
124000,1.826776,-0.332794,8.748413,1.934806,-0.096850,-3.004319
128000,1.843535,-0.308852,8.583213,1.873737,0.391699,-3.615006
132000,1.704672,-0.344765,8.489840,1.339386,0.437501,-4.225693
136000,1.726219,-0.349553,8.485051,0.866104,-0.051049,-4.668441
140000,1.704672,-0.282516,8.623915,0.514959,-0.554866,-5.065388
144000,1.702277,-0.378284,8.528147,0.392821,-0.844942,-5.233327
148000,1.726219,-0.368707,8.494628,0.240150,-1.669369,-5.660808
152000,1.759738,-0.411803,8.561666,0.163814,-2.570133,-5.798213
156000,1.776498,-0.433351,8.674192,0.347020,-3.257156,-6.073021
160000,1.719037,-0.399832,8.865729,0.423356,-3.959446,-6.500503
164000,1.776498,-0.447716,8.939949,0.713432,-4.799140,-6.882182
168000,1.764527,-0.344765,8.887277,1.217249,-5.318224,-7.141724
172000,1.891419,-0.371101,8.839393,1.339386,-5.654102,-7.401266
176000,1.881842,-0.375890,8.793902,1.369921,-5.608301,-7.615006
180000,1.929727,-0.452504,8.966286,1.446256,-5.043415,-7.569205
184000,2.027889,-0.371101,9.026140,1.919539,-3.547232,-7.523403
188000,2.142811,-0.359130,8.913613,2.056943,-1.989980,-7.813479
192000,2.317587,-0.287304,8.817844,1.995875,-0.432728,-7.920350
196000,2.475605,-0.323217,8.712500,1.889004,0.651241,-8.790579
200000,2.525883,-0.299275,8.786720,1.690531,1.994753,-9.355465
204000,2.568978,-0.304064,8.760384,1.003508,3.048188,-10.363098
208000,2.631228,-0.241814,8.736442,0.667630,3.750478,-10.897449
212000,2.707842,-0.215478,8.743625,0.179081,3.719944,-11.935617
216000,2.662352,-0.256180,8.805874,0.423356,3.048188,-12.973785
220000,2.671929,-0.265756,8.846576,0.408088,2.055821,-13.569205
224000,2.631228,-0.246603,8.825027,0.667630,1.017653,-14.821114
228000,2.671929,-0.253785,8.793902,0.728699,-0.066316,-15.111190
232000,2.748544,-0.260968,8.906430,0.881371,-1.028148,-16.149357
236000,2.750938,-0.227449,8.983045,1.003508,-1.898377,-16.973785
240000,2.820370,-0.260968,9.030929,1.446256,-2.310591,-18.088287
244000,2.820370,-0.205901,8.987833,1.889004,-2.478530,-18.821114
248000,2.892196,-0.177171,8.990228,2.041676,-2.234255,-19.538670
252000,2.928109,-0.134075,8.930372,2.133279,-0.844942,-20.240959
256000,3.007117,-0.181959,8.942344,2.255417,0.742844,-21.111189
260000,2.873042,-0.162806,8.753201,2.118012,1.704676,-22.027220
264000,2.954445,-0.136469,8.822633,2.087478,2.284829,-22.882181
268000,3.019088,-0.205901,8.930372,2.011142,3.139791,-24.088287
272000,2.959233,-0.184354,8.863335,2.087478,3.353531,-24.821114
276000,2.992752,-0.160412,8.815451,1.950073,3.307730,-26.103556
280000,2.968810,-0.237026,8.772355,2.056943,3.063455,-26.989052
284000,3.205836,-0.296881,8.906430,2.331753,3.979486,-28.454700
288000,3.114856,-0.229843,9.047688,1.919539,3.048188,-30.363098
292000,2.987964,-0.347159,9.059659,2.209615,2.941318,-31.584471
296000,2.908955,-0.294487,9.045294,2.240149,3.002386,-32.790577
300000,2.908955,-0.359130,9.093178,2.576027,1.658875,-34.256226
304000,2.717419,-0.464475,9.255983,3.385188,1.002386,-35.080654
308000,2.602497,-0.521936,9.270349,3.904272,0.666508,-35.431801
312000,2.487576,-0.569820,9.191340,4.362287,0.406966,-35.813480
316000,2.454057,-0.557849,9.210494,4.805035,0.193226,-35.721874
320000,2.583344,-0.658405,9.126697,5.644730,1.017653,-36.439434
324000,2.774880,-0.490811,9.042900,6.011142,0.910783,-37.126457
328000,2.935291,-0.531513,9.040505,5.843203,1.109257,-38.302029
