time_us,ax,ay,az,gx,gy,gz
0,-0.071826,-0.780510,8.877700,-1.011759,3.613073,-0.454701
4000,-0.079009,-0.763750,8.772355,-0.416339,5.903150,-0.027220
8000,-0.045490,-0.770933,8.904037,-0.049927,7.765746,0.308658
12000,-0.050278,-0.797269,8.896853,0.759233,8.300096,0.583467
16000,-0.014365,-0.787692,8.774749,1.171447,7.597806,0.552933
20000,-0.081403,-0.677559,8.753201,1.232516,6.452768,0.400261
24000,-0.038307,-0.758962,8.643068,1.018775,5.719944,0.354459
28000,-0.105345,-0.711078,8.638280,1.171447,4.269562,-0.027220
32000,-0.083797,-0.754174,8.566454,1.095111,3.017654,-0.195159
36000,-0.088585,-0.696713,8.681376,0.805035,1.643608,-0.469968
40000,-0.086191,-0.696713,8.583213,0.545493,0.605440,-0.592106
44000,-0.189142,-0.672771,8.602366,0.072211,0.132157,-0.515770
48000,-0.117316,-0.689530,8.705317,-0.538476,-0.112117,-0.363098
52000,-0.155623,-0.656011,8.781932,-0.965957,0.483302,-0.027220
56000,-0.057461,-0.675165,8.748413,-1.286568,1.414600,0.293391
60000,0.002394,-0.660800,8.856153,-1.271301,1.948951,0.094917
64000,0.052672,-0.660800,8.726865,-1.714049,2.376432,-0.149358
68000,0.002394,-0.670376,8.808268,-1.775118,2.147424,-0.469968
72000,-0.160412,-0.737414,8.616732,-2.034660,1.353531,-0.332564
76000,-0.189142,-0.612916,8.655039,-2.278934,0.223760,-0.653174
80000,-0.174777,-0.696713,8.734048,-2.660614,-0.875476,-0.943251
84000,-0.148441,-0.624887,8.808268,-3.057560,-1.745705,-0.851648
88000,-0.114922,-0.677559,8.892065,-3.179698,-2.142652,-1.095922
92000,-0.160412,-0.701501,8.892065,-3.179698,-2.188453,-1.294396
96000,-0.131681,-0.751779,8.841787,-3.057560,-2.218988,-1.111190
100000,-0.131681,-0.761356,8.937555,-2.874354,-1.196087,-1.141724
104000,-0.160412,-0.711078,8.992621,-2.645346,-0.096850,-1.202793
108000,-0.126893,-0.768539,9.155427,-2.416339,1.521470,-0.989052
112000,-0.160412,-0.751779,9.282320,-1.500308,3.200860,-0.805846
116000,-0.100556,-0.821211,9.296685,-0.355270,5.765745,-0.393632
120000,-0.203507,-0.766145,9.162610,0.438623,7.002387,-0.393632
124000,-0.258574,-0.857124,9.006987,0.988241,7.781012,-0.347831
128000,-0.234632,-0.852336,9.172187,1.659997,8.483302,-0.027220
132000,-0.265756,-0.840365,9.124303,2.224883,8.116890,-0.195159
136000,-0.347159,-0.828394,8.880095,2.743967,7.261929,0.003314
140000,-0.428562,-0.799663,8.839393,3.324119,6.513837,0.125452
144000,-0.416591,-0.849942,8.755595,3.644730,5.872615,0.369726
148000,-0.454898,-0.821211,8.738836,3.843203,5.475669,0.461329
152000,-0.373495,-0.689530,8.549694,3.659997,4.819180,0.675070
156000,-0.378284,-0.730232,8.422802,3.461524,4.437501,0.644536
160000,-0.440533,-0.703895,8.413225,3.201982,4.086356,1.056749
164000,-0.270545,-0.708684,8.583213,2.789768,4.391699,1.148352
168000,-0.222661,-0.715866,8.451532,2.621829,4.910783,1.209421
172000,-0.158017,-0.670376,8.544906,2.514959,5.674142,1.133085
176000,-0.220267,-0.691924,8.588001,2.316485,6.483303,0.980413
180000,-0.349553,-0.687136,8.525752,2.285951,6.864982,1.270490
184000,-0.272939,-0.687136,8.738836,2.179081,6.681776,1.285757
188000,-0.349553,-0.706290,8.722076,2.484425,5.994753,1.453696
192000,-0.361524,-0.754174,8.738836,2.545493,5.338264,1.881177
196000,-0.356736,-0.814029,8.829816,3.110379,4.880249,2.003314
200000,-0.203507,-0.809240,9.083601,3.476791,5.322997,2.400261
204000,-0.090980,-0.826000,9.155427,4.133279,5.933684,2.308658
208000,-0.079009,-0.845153,9.145850,5.034043,5.872615,2.262856
212000,-0.081403,-0.766145,9.097966,5.950073,4.758111,2.171253
