time_us,ax,ay,az,gx,gy,gz
0,0.447716,-0.237026,8.588001,-2.034660,11.582539,-0.561571
4000,0.404620,-0.284910,8.549694,-2.752217,12.849714,-0.897449
8000,0.275333,-0.234632,8.372523,-3.271301,12.605439,-1.111190
12000,0.215478,-0.311246,8.468291,-3.378171,11.109256,-1.553938
16000,0.045490,-0.292093,8.427590,-3.378171,8.605439,-1.737144
20000,-0.007183,-0.308852,8.508993,-3.072828,6.116890,-2.057755
24000,-0.038307,-0.409408,8.458714,-3.118629,3.139791,-2.103556
28000,-0.067038,-0.378284,8.401254,-3.256034,-0.615934,-2.195159
32000,0.019154,-0.375890,8.458714,-3.591912,-3.837308,-2.439434
36000,-0.038307,-0.409408,8.616732,-3.881988,-6.005247,-2.531037
40000,0.000000,-0.383072,8.760384,-3.881988,-7.257155,-2.653174
44000,0.141258,-0.409408,8.911219,-3.973591,-6.371659,-2.454701
48000,0.201113,-0.464475,8.983045,-3.408705,-3.974713,-1.905083
52000,0.280122,-0.481235,9.169792,-2.660614,-0.142652,-1.324930
56000,0.569820,-0.378284,9.148245,-1.759850,4.406967,-1.156991
60000,0.399832,-0.332794,8.882488,-1.362904,7.933684,-1.095922
64000,0.344765,-0.368707,8.717288,-1.805652,9.048187,-1.355464
68000,0.320823,-0.337582,8.738836,-1.958324,11.078722,-1.370732
72000,0.256180,-0.407014,8.781932,-2.446873,12.086355,-1.477602
76000,0.169988,-0.366313,8.695741,-2.798018,12.071088,-1.569205
80000,0.067038,-0.411803,8.564059,-2.752217,11.032920,-1.553938
84000,-0.107739,-0.450110,8.722076,-2.416339,8.788646,-1.676075
88000,-0.138864,-0.519542,8.724471,-1.912522,6.193226,-1.782945
92000,-0.119710,-0.509965,8.848969,-1.240766,3.689409,-1.844014
96000,-0.150835,-0.483629,8.839393,-0.324736,0.651241,-1.844014
100000,-0.134075,-0.505177,8.774749,0.316485,-1.028148,-1.966151
104000,-0.004788,-0.476446,8.882488,0.560760,-1.913644,-1.752411
108000,0.021548,-0.421380,8.717288,0.194348,-1.531965,-1.844014
112000,-0.067038,-0.351948,8.746018,-0.110996,-0.585400,-1.645541
116000,0.019154,-0.385466,8.588001,-0.843820,0.666508,-1.340197
120000,-0.009577,-0.280122,8.564059,-1.607178,2.788646,-0.805846
124000,0.004788,-0.277727,8.489840,-2.462140,4.742845,-0.424167
128000,-0.011971,-0.263362,8.305486,-2.813286,6.895516,-0.195159
132000,0.071826,-0.229843,8.281544,-3.714049,8.055821,0.476597
136000,-0.040701,-0.289698,8.360553,-4.660614,7.994752,0.446062
140000,-0.031125,-0.268151,8.339005,-5.668247,7.887883,0.583467
144000,-0.002394,-0.328006,8.396465,-6.599545,7.353531,0.598734
148000,-0.131681,-0.399832,8.707711,-7.042294,5.643608,0.507131
152000,-0.023942,-0.471658,9.059659,-6.828553,4.223761,0.614001
156000,0.002394,-0.514753,9.227253,-5.637713,3.674142,0.583467
160000,0.064643,-0.536301,9.244013,-4.798018,3.872615,0.659803
164000,0.105345,-0.548272,9.215282,-4.095729,4.254295,0.476597
168000,0.124498,-0.517148,9.200917,-3.118629,5.277195,0.384994
172000,0.086191,-0.541090,9.155427,-2.446873,5.246661,0.522398
176000,0.028730,-0.536301,8.975863,-1.515576,5.399333,0.507131
180000,-0.009577,-0.548272,8.877700,-1.362904,5.246661,0.476597
184000,0.011971,-0.474052,8.784326,-0.889621,4.849715,0.705604
188000,-0.004788,-0.476446,8.844181,-0.675881,4.147425,0.598734
192000,-0.052672,-0.557849,8.951921,0.072211,2.559638,0.461329
196000,-0.004788,-0.526724,8.925584,0.881371,0.513837,0.293391
200000,-0.009577,-0.572214,8.978256,1.690531,-1.226621,0.125452
204000,0.031125,-0.493206,8.959103,2.209615,-2.570133,-0.073022
208000,0.191536,-0.553061,8.949526,2.240149,-3.760972,-0.485235
212000,0.201113,-0.442927,8.860941,2.728699,-4.753339,-0.561571
216000,0.294487,-0.380678,8.913613,2.896638,-5.012881,-1.050121
220000,0.385466,-0.402226,8.681376,3.095111,-4.127385,-1.431800
224000,0.275333,-0.323217,8.590396,2.927173,-2.570133,-2.011953
228000,0.186748,-0.304064,8.463503,1.980608,-1.470896,-1.889816
232000,0.141258,-0.328006,8.422802,1.064577,-0.203721,-2.195159
236000,0.181959,-0.275333,8.398860,-0.263667,1.017653,-1.584472
240000,0.153229,-0.241814,8.329428,-1.210232,2.406966,-1.752411
244000,0.100556,-0.184354,8.240842,-2.202598,3.521470,-1.584472
248000,0.069432,-0.220267,8.149862,-3.546110,3.872615,-1.721877
252000,0.083797,-0.270545,8.097190,-4.798018,3.765745,-1.782945
256000,0.110133,-0.256180,8.188169,-5.897255,3.460402,-1.798213
260000,-0.021548,-0.299275,8.403648,-7.256034,2.788646,-1.798213
264000,-0.067038,-0.459687,8.638280,-7.897255,2.834447,-1.553938
268000,-0.122104,-0.438139,8.894460,-7.836186,3.521470,-0.821113
272000,-0.134075,-0.459687,9.095572,-7.423973,3.887883,-0.683709
276000,-0.031125,-0.553061,9.069236,-6.813286,4.391699,-0.302029
280000,-0.023942,-0.600945,9.200917,-6.431606,5.429867,0.186520
284000,0.093374,-0.593762,9.176975,-5.927790,7.597806,0.904078
288000,0.064643,-0.577003,9.215282,-5.408706,9.231394,0.904078
292000,0.057461,-0.548272,9.153033,-5.042294,9.872615,1.270490
296000,0.136469,-0.529119,8.990228,-4.798018,10.620707,1.484230
300000,0.150835,-0.459687,8.937555,-4.706415,11.170325,1.453696
304000,0.076614,-0.569820,8.813056,-4.706415,10.406966,1.468963
308000,0.110133,-0.502782,8.690952,-4.736950,10.116890,1.530032
312000,0.102951,-0.519542,8.710106,-5.286569,9.964218,1.377360
316000,0.050278,-0.466869,8.676587,-5.652981,8.712310,1.285757
320000,0.090980,-0.502782,8.746018,-5.362904,7.689410,0.995681
324000,-0.021548,-0.557849,8.805874,-5.332370,7.017653,1.194154
328000,0.023942,-0.521936,8.825027,-5.011759,7.170325,1.133085
332000,-0.090980,-0.541090,8.832211,-5.149163,7.735211,1.316291
336000,-0.079009,-0.565032,8.595184,-5.118629,8.177958,1.713238
340000,-0.227449,-0.615310,8.561666,-5.637713,8.574905,2.278123
344000,-0.383072,-0.675165,8.614338,-6.110995,9.582539,2.843009
348000,-0.462081,-0.605733,8.604761,-6.660614,11.002386,3.652169
352000,-0.505177,-0.682347,8.664616,-7.072827,11.796279,4.705605
356000,-0.517148,-0.744597,8.817844,-6.920156,12.468035,5.881177
360000,-0.586579,-0.758962,8.736442,-6.523210,12.376431,6.675070
364000,-0.529119,-0.763750,8.846576,-6.187331,12.330630,7.652170
368000,-0.483629,-0.794875,8.904037,-5.927790,12.529103,8.018581
372000,-0.514753,-0.797269,8.884883,-5.317102,12.177958,8.446062
376000,-0.500388,-0.751779,8.894460,-4.645347,11.338264,8.659802
380000,-0.493206,-0.754174,8.851364,-3.912522,9.796279,8.781940
384000,-0.440533,-0.682347,8.887277,-3.469774,7.842081,8.736138
388000,-0.284910,-0.656011,8.856153,-2.782751,6.239028,8.659802
392000,-0.160412,-0.581791,8.743625,-2.095728,5.063455,8.201787
396000,-0.222661,-0.526724,8.710106,-1.897255,3.719944,8.003314
400000,-0.222661,-0.517148,8.535329,-2.507942,3.093989,7.804841
404000,-0.205901,-0.466869,8.446744,-3.240766,3.246661,7.804841
408000,-0.208296,-0.392649,8.394072,-4.385805,3.552005,7.636902
412000,-0.201113,-0.395043,8.511387,-5.591911,3.322997,7.789574
416000,-0.112527,-0.332794,8.480263,-6.355270,4.315363,7.392627
420000,0.043096,-0.366313,8.578424,-7.210233,5.445135,6.781940
424000,0.000000,-0.359130,8.518570,-7.500309,6.697043,6.598734
428000,0.110133,-0.325611,8.805874,-7.851454,7.536737,6.110185
432000,0.093374,-0.423774,8.985439,-7.485042,8.529103,5.499497
436000,0.160412,-0.407014,9.296685,-6.660614,9.460402,4.675070
440000,0.318429,-0.409408,9.430760,-5.607179,9.643607,3.591101
444000,0.383072,-0.395043,9.404425,-3.500308,10.101623,1.957513
448000,0.328006,-0.409408,9.538500,-1.179698,9.170325,0.461329
452000,0.076614,-0.457293,9.481039,0.881371,7.124524,-0.851648
456000,-0.021548,-0.483629,9.270349,3.980608,6.513837,-1.691342
460000,-0.184354,-0.531513,9.145850,5.003509,4.620707,-2.469968
464000,-0.220267,-0.536301,8.884883,5.583661,3.078722,-3.065388
468000,-0.502782,-0.584185,8.681376,6.133279,0.132157,-2.897449
472000,-0.500388,-0.605733,8.449138,6.530226,-2.386927,-2.973785
476000,-0.497994,-0.555455,8.279149,5.858470,-4.173186,-2.821113
480000,-0.328006,-0.505177,7.929596,5.232516,-5.730438,-2.973785
484000,-0.306458,-0.514753,7.908048,3.690531,-6.738071,-2.851648
488000,-0.294487,-0.497994,7.936779,2.347020,-7.699903,-3.141724
492000,-0.237026,-0.483629,8.015787,0.285951,-7.516697,-3.095922
496000,-0.294487,-0.560243,8.037335,-1.637713,-6.783873,-3.202793
500000,-0.378284,-0.548272,8.075643,-3.088094,-5.409827,-2.851648
504000,-0.562637,-0.586579,8.025364,-4.049927,-4.188453,-2.332564
508000,-0.462081,-0.610521,7.931990,-5.943057,-2.447995,-1.294396
512000,-0.469264,-0.581791,7.821857,-7.836186,0.055821,-0.698976
516000,-0.452504,-0.627281,7.745243,-9.744583,1.582539,-0.073022
520000,-0.395043,-0.560243,7.702147,-11.210233,2.132157,0.461329
524000,-0.430956,-0.591368,7.817069,-13.179698,2.941318,0.904078
528000,-0.481235,-0.579397,7.773973,-14.691148,3.338264,1.331558
532000,-0.418985,-0.581791,7.694964,-16.370537,3.231394,1.820108
536000,-0.268151,-0.569820,8.092402,-16.523209,2.727577,1.591100
540000,-0.083797,-0.545878,8.305486,-16.813284,2.590173,0.827742
544000,-0.059855,-0.560243,8.243237,-16.278934,1.261928,0.064383
548000,-0.189142,-0.536301,8.262390,-16.156796,0.635974,-0.729510
552000,-0.316035,-0.622492,8.279149,-15.790385,-0.218988,-1.187526
556000,-0.471658,-0.608127,8.070854,-16.614811,-1.577766,-1.553938
560000,-0.493206,-0.663194,8.104373,-17.332369,-0.295324,-0.973785
564000,-0.720655,-0.663194,7.987057,-18.324736,0.116890,-0.225693
568000,-0.581791,-0.656011,8.032547,-19.057560,0.742844,0.323925
572000,-0.488417,-0.651223,8.051701,-19.530842,0.529104,0.384994
576000,-0.347159,-0.629675,8.080431,-18.965956,-0.035782,0.430795
580000,-0.416591,-0.632069,7.814674,-18.782751,-1.394560,0.079650
584000,-0.409408,-0.574608,7.620744,-18.843819,-4.264789,0.018581
588000,-0.392649,-0.483629,7.187394,-20.782751,-6.493797,-0.317297
592000,-0.723049,-0.541090,6.744466,-24.233131,-7.959445,0.476597
596000,-1.065420,-0.689530,6.327875,-28.538475,-10.768606,1.896444
600000,-1.235408,-0.610521,5.841852,-34.217865,-13.211354,3.789574
604000,-1.213860,-0.629675,5.334281,-41.591911,-14.325858,5.881177
608000,-0.826000,-0.667982,4.891354,-48.996490,-12.951813,7.911711
612000,-0.469264,-0.553061,4.529830,-56.034660,-9.516698,8.736138
616000,-0.466869,-0.548272,4.065354,-65.897255,-12.692270,8.629268
620000,-0.122104,-0.536301,3.536236,-76.263664,-12.127385,8.278123
624000,0.328006,-0.452504,2.875436,-87.973587,-10.997614,7.560566
628000,1.041478,-0.411803,2.554613,-101.485039,-8.402194,5.331559
632000,1.750161,-0.359130,1.836353,-113.988861,-7.241889,1.407894
636000,2.054225,-0.306458,0.916979,-127.698784,-11.593034,-3.966152
640000,2.255338,-0.490811,-0.028730,-142.935425,-15.913645,-9.355465
644000,2.161964,-0.660800,-0.656011,-160.843826,-21.333492,-14.851648
648000,2.023100,-0.914585,-1.376666,-181.362915,-28.035782,-20.286762
652000,2.202666,-1.295263,-2.111686,-204.599548,-36.982346,-26.744778
656000,2.418144,-1.759738,-2.655170,-227.286575,-41.562500,-31.920349
660000,2.588132,-2.221819,-3.122039,-251.301849,-50.768608,-37.462334
664000,2.906561,-2.791639,-3.179500,-274.141510,-59.425095,-43.340199
